country,year,population
Afghanistan,1990,12412308.0
Afghanistan,1991,13299017.0
Afghanistan,1992,14485546.0
Afghanistan,1993,15816603.0
Afghanistan,1994,17075727.0
Afghanistan,1995,18110657.0
Afghanistan,1996,18853437.0
Afghanistan,1997,19357126.0
Afghanistan,1998,19737765.0
Afghanistan,1999,20170844.0
Afghanistan,2000,20779953.0
Afghanistan,2001,21606988.0
Afghanistan,2002,22600770.0
Afghanistan,2003,23680871.0
Afghanistan,2004,24726684.0
Afghanistan,2005,25654277.0
Afghanistan,2006,26433049.0
Afghanistan,2007,27100536.0
Afghanistan,2008,27722276.0
Afghanistan,2009,28394813.0
Afghanistan,2010,29185507.0
Afghanistan,2011,30117413.0
Afghanistan,2012,31161376.0
Afghanistan,2013,32269589.0
Afghanistan,2014,33370794.0
Afghanistan,2015,34413603.0
Afghanistan,2016,35383128.0
Albania,1990,3286542.0
Albania,1991,3266790.0
Albania,1992,3247039.0
Albania,1993,3227287.0
Albania,1994,3207536.0
Albania,1995,3187784.0
Albania,1996,3168033.0
Albania,1997,3148281.0
Albania,1998,3128530.0
Albania,1999,3108778.0
Albania,2000,3089027.0
Albania,2001,3060173.0
Albania,2002,3051010.0
Albania,2003,3039616.0
Albania,2004,3026939.0
Albania,2005,3011487.0
Albania,2006,2992547.0
Albania,2007,2970017.0
Albania,2008,2947314.0
Albania,2009,2927519.0
Albania,2010,2913021.0
Albania,2011,2905195.0
Albania,2012,2900401.0
Albania,2013,2895092.0
Albania,2014,2889104.0
Albania,2015,2880703.0
Albania,2016,2876101.0
Andorra,1990,54509.0
Andorra,1991,56671.0
Andorra,1992,58888.0
Andorra,1993,60971.0
Andorra,1994,62677.0
Andorra,1995,63850.0
Andorra,1996,64360.0
Andorra,1997,64327.0
Andorra,1998,64142.0
Andorra,1999,64370.0
Andorra,2000,65390.0
Andorra,2001,67341.0
Andorra,2002,70049.0
Andorra,2003,73182.0
Andorra,2004,76244.0
Andorra,2005,78867.0
Andorra,2006,80993.0
Andorra,2007,82684.0
Andorra,2008,83862.0
Andorra,2009,84463.0
Andorra,2010,84449.0
Andorra,2011,83747.0
Andorra,2012,82427.0
Andorra,2013,80774.0
Andorra,2014,79213.0
Andorra,2015,78011.0
Andorra,2016,77297.0
Angola,1990,11848386.0
Angola,1991,12248901.0
Angola,1992,12657366.0
Angola,1993,13075049.0
Angola,1994,13503747.0
Angola,1995,13945206.0
Angola,1996,14400719.0
Angola,1997,14871570.0
Angola,1998,15359601.0
Angola,1999,15866869.0
Angola,2000,16395473.0
Angola,2001,16945753.0
Angola,2002,17519417.0
Angola,2003,18121479.0
Angola,2004,18758145.0
Angola,2005,19433602.0
Angola,2006,20149901.0
Angola,2007,20905363.0
Angola,2008,21695634.0
Angola,2009,22514281.0
Angola,2010,23356246.0
Angola,2011,24220661.0
Angola,2012,25107931.0
Angola,2013,26015780.0
Angola,2014,26941779.0
Angola,2015,27884381.0
Angola,2016,28842484.0
Aruba,1990,62149.0
Aruba,1991,64622.0
Aruba,1992,68235.0
Aruba,1993,72504.0
Aruba,1994,76700.0
Aruba,1995,80324.0
Aruba,1996,83200.0
Aruba,1997,85451.0
Aruba,1998,87277.0
Aruba,1999,89005.0
Aruba,2000,90853.0
Aruba,2001,92898.0
Aruba,2002,94992.0
Aruba,2003,97017.0
Aruba,2004,98737.0
Aruba,2005,100031.0
Aruba,2006,100834.0
Aruba,2007,101222.0
Aruba,2008,101358.0
Aruba,2009,101455.0
Aruba,2010,101669.0
Aruba,2011,102046.0
Aruba,2012,102560.0
Aruba,2013,103159.0
Aruba,2014,103774.0
Aruba,2015,104341.0
Aruba,2016,104872.0
